Pilot,1,1,1,http://192.168.1.250/Video/Becker/Season 1/Becker S1E01.m4v
Take These Pills and Shove 'Em,1,1,2,http://192.168.1.250/Video/Becker/Season 1/Becker S1E02.m4v
Sex in the Inner City,1,1,3,http://192.168.1.250/Video/Becker/Season 1/Becker S1E03.m4v
Tell Me Lies,1,1,4,http://192.168.1.250/Video/Becker/Season 1/Becker S1E04.m4v
My Dinner with Becker,1,1,5,http://192.168.1.250/Video/Becker/Season 1/Becker S1E05.m4v
"Man Plans, God Laughs",1,1,6,http://192.168.1.250/Video/Becker/Season 1/Becker S1E06.m4v
City Lights,1,1,7,http://192.168.1.250/Video/Becker/Season 1/Becker S1E07.m4v
"Physician, Heal Thyself",1,1,8,http://192.168.1.250/Video/Becker/Season 1/Becker S1E08.m4v
Choose Me,1,1,9,http://192.168.1.250/Video/Becker/Season 1/Becker S1E09.m4v
P.C. World,1,1,10,http://192.168.1.250/Video/Becker/Season 1/Becker S1E10.m4v
Scriptus Interruptus,1,1,11,http://192.168.1.250/Video/Becker/Season 1/Becker S1E11.m4v
Love! Lies! Bleeding!,1,1,12,http://192.168.1.250/Video/Becker/Season 1/Becker S1E12.m4v
Becker the Elder,1,1,13,http://192.168.1.250/Video/Becker/Season 1/Becker S1E13.m4v
Larry Spoke,1,1,14,http://192.168.1.250/Video/Becker/Season 1/Becker S1E14.m4v
Activate Your Choices,1,1,15,http://192.168.1.250/Video/Becker/Season 1/Becker S1E15.m4v
Limits & Boundaries,1,1,16,http://192.168.1.250/Video/Becker/Season 1/Becker S1E16.m4v
Partial Law,1,1,17,http://192.168.1.250/Video/Becker/Season 1/Becker S1E17.m4v
Saving Harvey Cohen,1,1,18,http://192.168.1.250/Video/Becker/Season 1/Becker S1E18.m4v
Truth and Consequences,1,1,19,http://192.168.1.250/Video/Becker/Season 1/Becker S1E19.m4v
"Drive, They Said",1,1,20,http://192.168.1.250/Video/Becker/Season 1/Becker S1E20.m4v
Lucky Day,1,1,21,http://192.168.1.250/Video/Becker/Season 1/Becker S1E21.m4v
Regarding Reggie,1,1,22,http://192.168.1.250/Video/Becker/Season 1/Becker S1E22.m4v
Point of Contact,1,2,1,http://192.168.1.250/Video/Becker/Season 2/Becker S2E01.m4v
Imm-Oral Fixations,1,2,2,http://192.168.1.250/Video/Becker/Season 2/Becker S2E02.m4v
Cyrano De-Beckerac,1,2,3,http://192.168.1.250/Video/Becker/Season 2/Becker S2E03.m4v
Linda Quits,1,2,4,http://192.168.1.250/Video/Becker/Season 2/Becker S2E04.m4v
My Boyfriend's Back,1,2,5,http://192.168.1.250/Video/Becker/Season 2/Becker S2E05.m4v
Shovel Off to Buffalo,1,2,6,http://192.168.1.250/Video/Becker/Season 2/Becker S2E06.m4v
"He Said, She Said",1,2,7,http://192.168.1.250/Video/Becker/Season 2/Becker S2E07.m4v
Stumble in the Bronx,1,2,8,http://192.168.1.250/Video/Becker/Season 2/Becker S2E08.m4v
Hate Thy Neighbor,1,2,9,http://192.168.1.250/Video/Becker/Season 2/Becker S2E09.m4v
Pain in the Aspirin,1,2,10,http://192.168.1.250/Video/Becker/Season 2/Becker S2E10.m4v
Blind Curve,1,2,11,http://192.168.1.250/Video/Becker/Season 2/Becker S2E11.m4v
Santa on Ice,1,2,12,http://192.168.1.250/Video/Becker/Season 2/Becker S2E12.m4v
The Hypocratic Oath,1,2,13,http://192.168.1.250/Video/Becker/Season 2/Becker S2E13.m4v
The Rumor,1,2,14,http://192.168.1.250/Video/Becker/Season 2/Becker S2E14.m4v
All the Rage,1,2,15,http://192.168.1.250/Video/Becker/Season 2/Becker S2E15.m4v
Old Yeller,1,2,16,http://192.168.1.250/Video/Becker/Season 2/Becker S2E16.m4v
The Roast That Ruined Them,1,2,17,http://192.168.1.250/Video/Becker/Season 2/Becker S2E17.m4v
For Whom the Toll Calls,1,2,18,http://192.168.1.250/Video/Becker/Season 2/Becker S2E18.m4v
